ID,label
Robert Motherwell,"painter, printmaker, lithographer, collagist, draftsperson, serigrapher, editor"
Marianne Preger-Simon,"psychotherapist, dancer, writer"
John Andrew Rice,"writer, educator"
M. C. Richards,"ceramicist, poet, writer"
Concetta Scaravaglione,"sculptor, artist"
Xanti Schawinsky,"designer, photographer, painter, graphic artist, scenographer, graphic designer"
Charlotte Schlesinger,composer
Roger Sessions,"classical composer, musicologist, music theorist, university teacher, music critic, composer"
David Tudor,"pianist, composer, organist, pedagogue"
Robert C. Turner,"ceramicist, artist"
Jean Varda,painter
Peter Voulkos,"ceramicist, painter, sculptor, artist"
David Weinrib,"sculptor, printmaker"
Stefan Wolpe,"composer, university teacher"
